ID,Category,Name,Amount,Price,Note
PL0001,Action,Naruto,8,90,REFILL
NZ0001,Action,JoJo's Bizarre Adventure Phantom Blood,71,80
JJ0001,Action,Attack on titan,60,60,
NZ0002,Action,My Hero Acadamia,75,50,
JJ0002,Action,Fullmetal alchemist,40,100,
NZ0003,Action,Toriko,1,1000,
VW0001,Action,Dragon Ball,50,60,
JJ0003,Comedy,One punch man,60,70,
VW0002,Action,Dragon Ball Super,100,40,
JJ0004,Action,Berserk,,46,
JJ0005,Action,Vinland saga,,89,
JJ0006,Action,Hunter x Hunter,,70,
NZ0004,Action,JoJo's Stardust Crusader,,58,
NZ0005,Comedy,Assasination Classroom,25,89,
PL0002,Comedy,Gintama,13,564,
PL0003,Romance,Your Lie in April,,57,
PL0004,Sports,Haikyuu,,80,
VW0003,Sports,Hajime no Ippo,,46,
VW0004,Comedy,Saiki Kusuo no Psi Nan,,86,
JJ0007,Fantasy,Goblin Slayer,,79,
NZ0006,Romance,The Quintessential Quintuplets,,56,
NZ0007,Fantasy,Sword Art Online,,70,
NZ0008,Action,Onepiece,,120,
BK0001,Romance,Komi Can't Communicate,,100,
PL0005,Action,Shangri-La Frontier,,86,
BK0002,Romance,My Dress-Up Darling,,120,
PL0006,Action,Naruto: Shippuden,,90,
BK0003,Romance,Horimiya,,85,
VW0005,Fantasy,Overlord,,75,
BK0004,Romance,Wotakoi,,80,
NZ0009,Comedy,SpyXFamily,,80,
VW0006,Comedy,Daily Lives of High School Boys,,45,
JJ0008,Sports,Blue Lock,,140,
BK0005,Romance,Kaguya-Sama: Love Is War,,60,
PL0007,Fantasy,Noragami,,65,
BK0006,Fantasy,Reincarnated as a Sword,,300,
BK0007,Comedy,Gokushufudo,,70,
JJ0009,Comedy,Mashle,,90,
JJ0010,Romance,Kubo won't let me be invisible,,50,
JJ0011,Fantasy,Food wars,,,
JJ0012,Sports,Kuroko's Basketball,,,
JJ0013,Romance,Alya Sometimes Hides Her Feelings in Russian,,,
PL0008,Romance,Kimi no Na wa (Your Name),,,
JJ0014,Comedy,Grand blue Dreaming,,,
BK0008,Fantasy,Omniscient reader's viewpoint,,275,
BK0009,Fantasy,Solo leveling,,275,
JJ0015,Romance,"More Than a Married Couple, But Not Lovers.",,,
